@relation dataSet

@attribute id numeric
@attribute buoyancy numeric
@attribute prismatic numeric
@attribute length numeric
@attribute draught numeric
@attribute beam numeric
@attribute froude numeric
@attribute resistance numeric

@data
288,-2.3,0.6,5.1,4.17,3.51,0.325,6.31
248,-5,0.6,4.78,4.24,3.15,0.375,12.49
226,0,0.6,4.78,4.24,3.15,0.175,0.4
219,-2.3,0.53,4.34,2.81,3.15,0.35,7.19
72,-2.4,0.568,4.34,2.98,3.15,0.175,0.43
119,-2.2,0.546,4.78,4.13,3.07,0.3,3.45
277,-5,0.53,4.78,3.75,3.15,0.4,23.55
117,-2.2,0.546,4.78,4.13,3.07,0.25,1.76
68,-2.4,0.574,4.36,3.96,2.76,0.425,33.97
296,-2.3,0.6,4.34,4.23,2.73,0.175,0.36
168,-5,0.565,5.1,3.94,3.51,0.125,0.08
275,-5,0.53,4.78,3.75,3.15,0.35,7.95
285,-2.3,0.6,5.1,4.17,3.51,0.25,1.96
88,-2.3,0.562,5.14,4.95,3.17,0.225,1.57
59,-2.4,0.574,4.36,3.96,2.76,0.2,0.93
273,-5,0.53,4.78,3.75,3.15,0.3,3.69
140,-5,0.565,4.77,3.99,3.15,0.125,0.07
87,-2.3,0.562,5.14,4.95,3.17,0.2,1.07
200,-2.3,0.53,4.76,3.68,3.16,0.225,1.15
299,-2.3,0.6,4.34,4.23,2.73,0.25,1.62
196,-2.3,0.53,4.76,3.68,3.16,0.125,0.1
136,0,0.565,4.77,3.99,3.15,0.375,14.93
242,-5,0.6,4.78,4.24,3.15,0.225,1.13
201,-2.3,0.53,4.76,3.68,3.16,0.25,1.65
18,-2.3,0.569,4.78,3.04,3.64,0.225,1.06
77,-2.4,0.568,4.34,2.98,3.15,0.3,3.43
44,-2.3,0.564,5.1,3.95,3.53,0.175,0.65
218,-2.3,0.53,4.34,2.81,3.15,0.325,3.87
128,0,0.565,4.77,3.99,3.15,0.175,0.49
31,-2.3,0.565,4.78,5.35,2.76,0.2,0.86
293,-2.3,0.6,5.1,4.17,3.51,0.45,47.13
159,0,0.565,5.1,3.94,3.51,0.25,1.9
67,-2.4,0.574,4.36,3.96,2.76,0.4,21.51
49,-2.3,0.564,5.1,3.95,3.53,0.3,3.99
131,0,0.565,4.77,3.99,3.15,0.25,1.96
183,-2.3,0.53,5.11,3.69,3.51,0.15,0.25
158,0,0.565,5.1,3.94,3.51,0.225,1.28
95,-2.3,0.562,5.14,4.95,3.17,0.4,20.41
190,-2.3,0.53,5.11,3.69,3.51,0.325,4.42
205,-2.3,0.53,4.76,3.68,3.16,0.35,7.51
25,-2.3,0.569,4.78,3.04,3.64,0.4,21.09
246,-5,0.6,4.78,4.24,3.15,0.325,6.2
98,-2.4,0.585,4.78,3.84,3.32,0.125,0.2
2,-2.3,0.568,4.78,3.99,3.17,0.175,0.47
90,-2.3,0.562,5.14,4.95,3.17,0.275,3.09
173,-5,0.565,5.1,3.94,3.51,0.25,1.76
303,-2.3,0.6,4.34,4.23,2.73,0.35,8.47
274,-5,0.53,4.78,3.75,3.15,0.325,5.07
192,-2.3,0.53,5.11,3.69,3.51,0.375,14.11
161,0,0.565,5.1,3.94,3.51,0.3,3.76
245,-5,0.6,4.78,4.24,3.15,0.3,4.34
230,0,0.6,4.78,4.24,3.15,0.275,3.35
60,-2.4,0.574,4.36,3.96,2.76,0.225,1.37
118,-2.2,0.546,4.78,4.13,3.07,0.275,2.49
244,-5,0.6,4.78,4.24,3.15,0.275,2.84
12,-2.3,0.568,4.78,3.99,3.17,0.425,32.75
56,-2.4,0.574,4.36,3.96,2.76,0.125,0.2
145,-5,0.565,4.77,3.99,3.15,0.25,1.83
149,-5,0.565,4.77,3.99,3.15,0.35,7.87
65,-2.4,0.574,4.36,3.96,2.76,0.35,8.03
7,-2.3,0.568,4.78,3.99,3.17,0.3,3.76
139,0,0.565,4.77,3.99,3.15,0.45,55.44
20,-2.3,0.569,4.78,3.04,3.64,0.275,2.33
51,-2.3,0.564,5.1,3.95,3.53,0.35,8.03
64,-2.4,0.574,4.36,3.96,2.76,0.325,5.19
304,-2.3,0.6,4.34,4.23,2.73,0.375,12.27
122,-2.2,0.546,4.78,4.13,3.07,0.375,12.76
269,-5,0.53,4.78,3.75,3.15,0.2,0.78
4,-2.3,0.568,4.78,3.99,3.17,0.225,1.18
102,-2.4,0.585,4.78,3.84,3.32,0.225,1.36
260,0,0.53,4.78,3.75,3.15,0.325,5.45
280,-2.3,0.6,5.1,4.17,3.51,0.125,0.01
264,0,0.53,4.78,3.75,3.15,0.425,41.77
99,-2.4,0.585,4.78,3.84,3.32,0.15,0.38
224,0,0.6,4.78,4.24,3.15,0.125,0.03
300,-2.3,0.6,4.34,4.23,2.73,0.275,2.63
254,0,0.53,4.78,3.75,3.15,0.175,0.59
148,-5,0.565,4.77,3.99,3.15,0.325,5.41
135,0,0.565,4.77,3.99,3.15,0.35,9.07
84,-2.3,0.562,5.14,4.95,3.17,0.125,0.28
236,0,0.6,4.78,4.24,3.15,0.425,34.62
46,-2.3,0.564,5.1,3.95,3.53,0.225,1.37
160,0,0.565,5.1,3.94,3.51,0.275,2.68
181,-5,0.565,5.1,3.94,3.51,0.45,49.14
11,-2.3,0.568,4.78,3.99,3.17,0.4,20.11
132,0,0.565,4.77,3.99,3.15,0.275,2.88
137,0,0.565,4.77,3.99,3.15,0.4,24.13
17,-2.3,0.569,4.78,3.04,3.64,0.2,0.66
180,-5,0.565,5.1,3.94,3.51,0.425,33.23
216,-2.3,0.53,4.34,2.81,3.15,0.275,2.05
100,-2.4,0.585,4.78,3.84,3.32,0.175,0.64
155,0,0.565,5.1,3.94,3.51,0.15,0.26
250,-5,0.6,4.78,4.24,3.15,0.425,32.46
40,-2.3,0.565,4.78,5.35,2.76,0.425,33.14
198,-2.3,0.53,4.76,3.68,3.16,0.175,0.47
186,-2.3,0.53,5.11,3.69,3.51,0.225,1.11
26,-2.3,0.569,4.78,3.04,3.64,0.425,35.01
30,-2.3,0.565,4.78,5.35,2.76,0.175,0.56
96,-2.3,0.562,5.14,4.95,3.17,0.425,32.34
73,-2.4,0.568,4.34,2.98,3.15,0.2,0.69
191,-2.3,0.53,5.11,3.69,3.51,0.35,7.84
217,-2.3,0.53,4.34,2.81,3.15,0.3,2.73
241,-5,0.6,4.78,4.24,3.15,0.2,0.63
92,-2.3,0.562,5.14,4.95,3.17,0.325,5.82
262,0,0.53,4.78,3.75,3.15,0.375,16.31
28,-2.3,0.565,4.78,5.35,2.76,0.125,0.09
231,0,0.6,4.78,4.24,3.15,0.3,5.06
94,-2.3,0.562,5.14,4.95,3.17,0.375,12.8
182,-2.3,0.53,5.11,3.69,3.51,0.125,0.08
1,-2.3,0.568,4.78,3.99,3.17,0.15,0.27
208,-2.3,0.53,4.76,3.68,3.16,0.425,37.38
169,-5,0.565,5.1,3.94,3.51,0.15,0.24
257,0,0.53,4.78,3.75,3.15,0.25,1.94
38,-2.3,0.565,4.78,5.35,2.76,0.375,13.08
195,-2.3,0.53,5.11,3.69,3.51,0.45,55.17
70,-2.4,0.568,4.34,2.98,3.15,0.125,0.12
178,-5,0.565,5.1,3.94,3.51,0.375,12.4
206,-2.3,0.53,4.76,3.68,3.16,0.375,13.77
251,-5,0.6,4.78,4.24,3.15,0.45,50.94
138,0,0.565,4.77,3.99,3.15,0.425,38.12
134,0,0.565,4.77,3.99,3.15,0.325,5.96
157,0,0.565,5.1,3.94,3.51,0.2,0.83
27,-2.3,0.569,4.78,3.04,3.64,0.45,51.8
261,0,0.53,4.78,3.75,3.15,0.35,9.45
78,-2.4,0.568,4.34,2.98,3.15,0.325,4.62
24,-2.3,0.569,4.78,3.04,3.64,0.375,11.99
197,-2.3,0.53,4.76,3.68,3.16,0.15,0.23
54,-2.3,0.564,5.1,3.95,3.53,0.425,33.97
114,-2.2,0.546,4.78,4.13,3.07,0.175,0.55
61,-2.4,0.574,4.36,3.96,2.76,0.25,1.97
295,-2.3,0.6,4.34,4.23,2.73,0.15,0.17
211,-2.3,0.53,4.34,2.81,3.15,0.15,0.17
23,-2.3,0.569,4.78,3.04,3.64,0.35,7.11
258,0,0.53,4.78,3.75,3.15,0.275,2.62
144,-5,0.565,4.77,3.99,3.15,0.225,1.14
32,-2.3,0.565,4.78,5.35,2.76,0.225,1.31
270,-5,0.53,4.78,3.75,3.15,0.225,1.21
85,-2.3,0.562,5.14,4.95,3.17,0.15,0.44
